=========================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5.revisions
############## CONFLICT ##############
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void watch(Object watchedReference) {
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/RefWatcher.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void watch(Object watchedReference, String referenceName) {
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/RefWatcher.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static RefWatcher install(Application application) {
    return RefWatcher.DISABLED;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private LeakCanary() {
    throw new AssertionError();
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test public void leakFound() {
    AnalysisResult result = analyze(new HeapAnalyzer(NONE));
    LeakTraceElement gcRoot = result.leakTrace.elements.get(0);
    assertTrue(result.leakFound);
    assertFalse(result.excludedLeak);
    assertEquals(Thread.class.getName(), gcRoot.className);
    assertEquals(THREAD, gcRoot.holder);
    assertThat(gcRoot.extra, containsString(ASYNC_TASK_THREAD));
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test public void excludeThread() {
    ExcludedRefs.Builder excludedRefs = new ExcludedRefs.Builder();
    excludedRefs.thread(ASYNC_TASK_THREAD);
    AnalysisResult result = analyze(new HeapAnalyzer(excludedRefs.build()));
    assertTrue(result.leakFound);
    assertFalse(result.excludedLeak);
    LeakTraceElement gcRoot = result.leakTrace.elements.get(0);
    assertEquals(ASYNC_TASK_CLASS, gcRoot.className);
    assertEquals(STATIC_FIELD, gcRoot.type);
    assertEquals(EXECUTOR_FIELD, gcRoot.referenceName);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test public void excludeStatic() {
    ExcludedRefs.Builder excludedRefs = new ExcludedRefs.Builder();
    excludedRefs.thread(ASYNC_TASK_THREAD);
    excludedRefs.staticField(ASYNC_TASK_CLASS, EXECUTOR_FIELD);
    AnalysisResult result = analyze(new HeapAnalyzer(excludedRefs.build()));
    assertTrue(result.leakFound);
    assertTrue(result.excludedLeak);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test public void excludeStaticForBase() {
    ExcludedRefs.Builder excludedRefs = new ExcludedRefs.Builder();
    excludedRefs.thread(ASYNC_TASK_THREAD);
    excludedRefs.staticField(ASYNC_TASK_CLASS, EXECUTOR_FIELD);
    AnalysisResult result = analyze(new HeapAnalyzer(excludedRefs.build(), excludedRefs.build()));
    assertFalse(result.leakFound);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private AnalysisResult analyze(HeapAnalyzer heapAnalyzer) {
    File heapDumpFile = new File(Thread.currentThread()
        .getContextClassLoader()
        .getResource("leak_asynctask.hprof")
        .getPath());
    return heapAnalyzer.checkForLeak(heapDumpFile, "dc983a12-d029-4003-8890-7dd644c664c5");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/AnalysisResult.java
############## CONFLICT ##############
Conflict type: ImplementList
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
implements Serializable
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/AnalysisResult.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static AnalysisResult noLeak(long analysisDurationMs) {
    return new AnalysisResult(false, false, null, null, null, analysisDurationMs);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/AnalysisResult.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static AnalysisResult leakDetected(boolean excludedLeak, String className,
      LeakTrace leakTrace, long analysisDurationMs) {
    return new AnalysisResult(true, excludedLeak, className, leakTrace, null, analysisDurationMs);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/AnalysisResult.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static AnalysisResult failure(Exception exception, long analysisDurationMs) {
    return new AnalysisResult(false, false, null, null, exception, analysisDurationMs);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/AnalysisResult.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 94db8ccbc0e639602df3bfba770fb96d77cb0524
Parent1 SHA-1: 46a6216f03bb05c5596ebfb8929d332649de01b0
Parent2 SHA-1: 10e851d81cd34c476f77ce60f881efc57b4e8d13
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private AnalysisResult(boolean leakFound, boolean excludedLeak, String className,
      LeakTrace leakTrace, Exception failure, long analysisDurationMs) {
    this.leakFound = leakFound;
    this.excludedLeak = excludedLeak;
    this.className = className;
    this.leakTrace = leakTrace;
    this.failure = failure;
    this.analysisDurationMs = analysisDurationMs;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_46a62_10e85/rev_46a62-10e85/leakcanary-analyzer/src/main/java/com/squareup/leakcanary/AnalysisResult.java

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_6034b_94db8/rev_6034b-94db8.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_3f3e2_f4742/rev_3f3e2-f4742.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_dec73_7a02f/rev_dec73-7a02f.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_5df8c_0b836/rev_5df8c-0b836.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_a9053_cc01e/rev_a9053-cc01e.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_2f756_fb700/rev_2f756-fb700.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_e3a03_6c5f2/rev_e3a03-6c5f2.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_9fdf9_24dd9/rev_9fdf9-24dd9.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_54ba3_18f1d/rev_54ba3-18f1d.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_c04e1_088ab/rev_c04e1-088ab.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_d5ea2_e21b9/rev_d5ea2-e21b9.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_e22ec_453ab/rev_e22ec-453ab.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_acfc8_33a5a/rev_acfc8-33a5a.revisions
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 70b7506e59c1fc6b187627d94020beb45474cd35
Parent1 SHA-1: acfc8fbb7e64645967344475cdc757ff836b0a5b
Parent2 SHA-1: 33a5ac61e8bcd20451832df7bb01f555680dbc25
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ public static String leakInfo(Context context, HeapDump heapDump, AnalysisResult result,
      boolean detailed) {
    PackageManager packageManager = context.getPackageManager();
    String packageName = context.getPackageName();
    PackageInfo packageInfo;
    try {
      packageInfo = packageManager.getPackageInfo(packageName, 0);
    } catch (PackageManager.NameNotFoundException e) {
      throw new RuntimeException(e);
    }
    String versionName = packageInfo.versionName;
    int versionCode = packageInfo.versionCode;
    String info = "In " + packageName + ":" + versionName + ":" + versionCode + ".\n";
    String detailedString = "";
    if (result.leakFound) {
      if (result.excludedLeak) {
        info += "* LEAK CAN BE IGNORED.\n";
      }
      info += "* " + result.className;
      if (!heapDump.referenceName.equals("")) {
        info += " (" + heapDump.referenceName + ")";
      }
      info += " has leaked:\n" + result.leakTrace.toString() + "\n";
      if (detailed) {
        detailedString = "\n* Details:\n" + result.leakTrace.toDetailedString();
      }
    } else if (result.failure != null) {
      info += "* FAILURE:\n" + Log.getStackTraceString(result.failure) + "\n";
    } else {
      info += "* NO LEAK FOUND.\n\n";
    }
    if (detailed) {
      detailedString += "* Excluded Refs:\n" + heapDump.excludedRefs;
    }

    info += "* Reference Key: "
        + heapDump.referenceKey
        + "\n"
        + "* Device: "
        + Build.MANUFACTURER
        + " "
        + Build.BRAND
        + " "
        + Build.MODEL
        + " "
        + Build.PRODUCT
        + "\n"
        + "* Android Version: "
        + Build.VERSION.RELEASE
        + " API: "
        + Build.VERSION.SDK_INT
        + " LeakCanary: "
        + BuildConfig.LIBRARY_VERSION
        + "\n"
        + "* Durations: watch="
        + heapDump.watchDurationMs
        + "ms, gc="
        + heapDump.gcDurationMs
        + "ms, heap dump="
        + heapDump.heapDumpDurationMs
        + "ms, analysis="
        + result.analysisDurationMs
        + "ms"
        + "\n"
        + detailedString;

    return info;
  } ##FSTMerge## public static String leakInfo(Context context, HeapDump heapDump, AnalysisResult result,
      boolean detailed) {
    PackageManager packageManager = context.getPackageManager();
    String packageName = context.getPackageName();
    PackageInfo packageInfo;
    try {
      packageInfo = packageManager.getPackageInfo(packageName, 0);
    } catch (PackageManager.NameNotFoundException e) {
      throw new RuntimeException(e);
    }
    String versionName = packageInfo.versionName;
    int versionCode = packageInfo.versionCode;
    String info = "In " + packageName + ":" + versionName + ":" + versionCode + ".\n";
    String detailedString = "";
    if (result.leakFound) {
      if (result.excludedLeak) {
        info += "* LEAK CAN BE IGNORED.\n";
      }
      info += "* " + result.className;
      if (!heapDump.referenceName.equals("")) {
        info += " (" + heapDump.referenceName + ")";
      }
      info += " has leaked:\n" + result.leakTrace.toString() + "\n";
      if (detailed) {
        detailedString = "\n* Details:\n" + result.leakTrace.toDetailedString();
      }
    } else if (result.failure != null) {
      info += "* FAILURE:\n" + Log.getStackTraceString(result.failure) + "\n";
    } else {
      info += "* NO LEAK FOUND.\n\n";
    }
    info += "* Reference Key: "
        + heapDump.referenceKey
        + "\n"
        + "* Device: "
        + Build.MANUFACTURER
        + " "
        + Build.BRAND
        + " "
        + Build.MODEL
        + " "
        + Build.PRODUCT
        + "\n"
        + "* Android Version: "
        + Build.VERSION.RELEASE
        + " API: "
        + Build.VERSION.SDK_INT
        + " LeakCanary: "
        + BuildConfig.LIBRARY_VERSION
        + "\n"
        + "* Durations: watch="
        + heapDump.watchDurationMs
        + "ms, gc="
        + heapDump.gcDurationMs
        + "ms, heap dump="
        + heapDump.heapDumpDurationMs
        + "ms, analysis="
        + result.analysisDurationMs
        + "ms"
        + "\n"
        + detailedString;

    return info;
  } ##FSTMerge## public static String leakInfo(Context context, HeapDump heapDump, AnalysisResult result,
      boolean detailed) {
    PackageManager packageManager = context.getPackageManager();
    String packageName = context.getPackageName();
    PackageInfo packageInfo;
    try {
      packageInfo = packageManager.getPackageInfo(packageName, 0);
    } catch (PackageManager.NameNotFoundException e) {
      throw new RuntimeException(e);
    }
    String versionName = packageInfo.versionName;
    int versionCode = packageInfo.versionCode;
    String info = "In " + packageName + ":" + versionName + ":" + versionCode + ".\n";
    String detailedString = "";
    if (result.leakFound) {
      if (result.excludedLeak) {
        info += "* LEAK CAN BE IGNORED.\n";
      }
      info += "* " + result.className;
      if (!heapDump.referenceName.equals("")) {
        info += " (" + heapDump.referenceName + ")";
      }
      info += " has leaked:\n" + result.leakTrace.toString() + "\n";
      if (detailed) {
        detailedString = "\n* Details:\n" + result.leakTrace.toDetailedString();
      }
    } else if (result.failure != null) {
      info += "* FAILURE:\n" + Log.getStackTraceString(result.failure) + "\n";
    } else {
      info += "* NO LEAK FOUND.\n\n";
    }
    info += "* Reference Key: "
        + heapDump.referenceKey
        + "\n"
        + "* Device: "
        + Build.MANUFACTURER
        + " "
        + Build.BRAND
        + " "
        + Build.MODEL
        + " "
        + Build.PRODUCT
        + "\n"
        + "* Android Version: "
        + Build.VERSION.RELEASE
        + " API: "
        + Build.VERSION.SDK_INT
        + " LeakCanary: "
        + BuildConfig.LIBRARY_VERSION
        + " "
        + BuildConfig.GIT_SHA
        + "\n"
        + "* Durations: watch="
        + heapDump.watchDurationMs
        + "ms, gc="
        + heapDump.gcDurationMs
        + "ms, heap dump="
        + heapDump.heapDumpDurationMs
        + "ms, analysis="
        + result.analysisDurationMs
        + "ms"
        + "\n"
        + detailedString;

    return info;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_acfc8_33a5a/rev_acfc8-33a5a/leakcanary-android/src/main/java/com/squareup/leakcanary/LeakCanary.java

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_c1d51_70b75/rev_c1d51-70b75.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_f40f1_9cd3e/rev_f40f1-9cd3e.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_660bc_5514a/rev_660bc-5514a.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_c3875_a2f9c/rev_c3875-a2f9c.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_0261a_83071/rev_0261a-83071.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_87aec_22ba8/rev_87aec-22ba8.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_d8fc0_7bf2e/rev_d8fc0-7bf2e.revisions

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_47b09_f8bcc/rev_47b09-f8bcc.revisions
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: 6c0bee2907076c8e20eb081f91e8f93798c36a27
Parent1 SHA-1: 47b098efdb5d2769a95db720a00616234237e20e
Parent2 SHA-1: f8bcc4e07af8f537dc427c0be760d42a2ff3017f
Number of Conflicts: 1
Different Spacing: 1
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ ##FSTMerge## public ##FSTMerge## public
File path: /tmp/downloads/leakcanary/revisions/rev_47b09_f8bcc/rev_47b09-f8bcc/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameFd
Merge Commit SHA-1: 6c0bee2907076c8e20eb081f91e8f93798c36a27
Parent1 SHA-1: 47b098efdb5d2769a95db720a00616234237e20e
Parent2 SHA-1: f8bcc4e07af8f537dc427c0be760d42a2ff3017f
Number of Conflicts: 1
Different Spacing: 1
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ ##FSTMerge## static final ExcludedRefs NONE = new ExcludedRefs.Builder().build(); ##FSTMerge## static final ExcludedRefs NONE = new ExcludedRefs.Builder().build();
File path: /tmp/downloads/leakcanary/revisions/rev_47b09_f8bcc/rev_47b09-f8bcc/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameFd
Merge Commit SHA-1: 6c0bee2907076c8e20eb081f91e8f93798c36a27
Parent1 SHA-1: 47b098efdb5d2769a95db720a00616234237e20e
Parent2 SHA-1: f8bcc4e07af8f537dc427c0be760d42a2ff3017f
Number of Conflicts: 1
Different Spacing: 1
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ ##FSTMerge## static final String ASYNC_TASK_THREAD = "AsyncTask #1"; ##FSTMerge## static final String ASYNC_TASK_THREAD = "AsyncTask #1";
File path: /tmp/downloads/leakcanary/revisions/rev_47b09_f8bcc/rev_47b09-f8bcc/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameFd
Merge Commit SHA-1: 6c0bee2907076c8e20eb081f91e8f93798c36a27
Parent1 SHA-1: 47b098efdb5d2769a95db720a00616234237e20e
Parent2 SHA-1: f8bcc4e07af8f537dc427c0be760d42a2ff3017f
Number of Conflicts: 1
Different Spacing: 1
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ ##FSTMerge## static final String ASYNC_TASK_CLASS = "android.os.AsyncTask"; ##FSTMerge## static final String ASYNC_TASK_CLASS = "android.os.AsyncTask";
File path: /tmp/downloads/leakcanary/revisions/rev_47b09_f8bcc/rev_47b09-f8bcc/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameFd
Merge Commit SHA-1: 6c0bee2907076c8e20eb081f91e8f93798c36a27
Parent1 SHA-1: 47b098efdb5d2769a95db720a00616234237e20e
Parent2 SHA-1: f8bcc4e07af8f537dc427c0be760d42a2ff3017f
Number of Conflicts: 1
Different Spacing: 1
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ ##FSTMerge## static final String EXECUTOR_FIELD = "SERIAL_EXECUTOR"; ##FSTMerge## static final String EXECUTOR_FIELD = "SERIAL_EXECUTOR";
File path: /tmp/downloads/leakcanary/revisions/rev_47b09_f8bcc/rev_47b09-f8bcc/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 6c0bee2907076c8e20eb081f91e8f93798c36a27
Parent1 SHA-1: 47b098efdb5d2769a95db720a00616234237e20e
Parent2 SHA-1: f8bcc4e07af8f537dc427c0be760d42a2ff3017f
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ ##FSTMerge## @Test public void leakFound() {
    AnalysisResult result = analyze(new HeapAnalyzer(NONE));
    LeakTraceElement gcRoot = result.leakTrace.elements.get(0);
    assertTrue(result.leakFound);
    assertFalse(result.excludedLeak);
    assertEquals(Thread.class.getName(), gcRoot.className);
    assertEquals(THREAD, gcRoot.holder);
    assertThat(gcRoot.extra, containsString(ASYNC_TASK_THREAD));
  } ##FSTMerge## @Test public void leakFound() {
    AnalysisResult result = analyze(new HeapAnalyzer(NONE));
    LeakTraceElement gcRoot = result.leakTrace.elements.get(0);
    assertTrue(result.leakFound);
    assertFalse(result.excludedLeak);
    assertEquals(Thread.class.getName(), gcRoot.className);
    assertEquals(THREAD, gcRoot.holder);
    assertThat(gcRoot.extra, containsString(ASYNC_TASK_THREAD));
  }
File path: /tmp/downloads/leakcanary/revisions/rev_47b09_f8bcc/rev_47b09-f8bcc/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 6c0bee2907076c8e20eb081f91e8f93798c36a27
Parent1 SHA-1: 47b098efdb5d2769a95db720a00616234237e20e
Parent2 SHA-1: f8bcc4e07af8f537dc427c0be760d42a2ff3017f
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
~~FSTMerge~~ ##FSTMerge## @Test public void excludeThread() {
    ExcludedRefs.Builder excludedRefs = new ExcludedRefs.Builder();
    excludedRefs.thread(ASYNC_TASK_THREAD);
    AnalysisResult result = analyze(new HeapAnalyzer(excludedRefs.build()));
    assertTrue(result.leakFound);
    assertFalse(result.excludedLeak);
    LeakTraceElement gcRoot = result.leakTrace.elements.get(0);
    assertEquals(ASYNC_TASK_CLASS, gcRoot.className);
    assertEquals(STATIC_FIELD, gcRoot.type);
    assertEquals(EXECUTOR_FIELD, gcRoot.referenceName);
  } ##FSTMerge## @Test public void excludeThread() {
    ExcludedRefs.Builder excludedRefs = new ExcludedRefs.Builder();
    excludedRefs.thread(ASYNC_TASK_THREAD);
    AnalysisResult result = analyze(new HeapAnalyzer(excludedRefs.build()));
    assertTrue(result.leakFound);
    assertFalse(result.excludedLeak);
    LeakTraceElement gcRoot = result.leakTrace.elements.get(0);
    assertEquals(ASYNC_TASK_CLASS, gcRoot.className);
    assertEquals(STATIC_FIELD, gcRoot.type);
